occupation,maritalStatus,,Y
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,0
Management,Divorced,,0
Management,Divorced,,0
Management,Divorced,,1
Management,Divorced,,0
Management,Divorced,,1
Management,Divorced,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
